Variable,Group1,Group2,Mean Diff,p-value,Significant
fred_AAAFFM,High,Low,-2.763,-6.7678,Yes
fred_AAAFFM,High,Medium,3.724,-0.2969,Yes
fred_AAAFFM,Low,Medium,6.4871,2.4742,No
fred_AHETPI,High,Low,-31.5394,-32.9094,Yes
fred_AHETPI,High,Medium,-16.077,-17.4443,Yes
fred_AHETPI,Low,Medium,15.4624,14.0978,No
fred_APU000074714,High,Low,-26.764,-29.0663,Yes
fred_APU000074714,High,Medium,-7.5199,-9.8223,Yes
fred_APU000074714,Low,Medium,19.244,16.9417,No
fred_BAA10YM,High,Low,-14.772,-18.4245,Yes
fred_BAA10YM,High,Medium,-5.7469,-9.4143,Yes
fred_BAA10YM,Low,Medium,9.025,5.365,No
fred_BAAFFM,High,Low,-4.7585,-8.7688,Yes
fred_BAAFFM,High,Medium,1.5899,-2.4205,Yes
fred_BAAFFM,Low,Medium,6.3484,2.338,No
fred_CSUSHPISA,High,Low,-28.4598,-30.5173,Yes
fred_CSUSHPISA,High,Medium,-10.0475,-12.1049,Yes
fred_CSUSHPISA,Low,Medium,18.4123,16.3549,No
fred_EXCAUS,High,Low,11.3966,7.7064,No
fred_EXCAUS,High,Medium,13.3497,9.6595,No
fred_EXCAUS,Low,Medium,1.9531,-1.7371,Yes
fred_EXDNUS,High,Low,3.6621,-0.3759,Yes
fred_EXDNUS,High,Medium,-1.5741,-5.6121,Yes
fred_EXDNUS,Low,Medium,-5.2362,-9.2741,Yes
fred_EXINUS,High,Low,-28.6949,-30.7801,Yes
fred_EXINUS,High,Medium,-15.638,-17.7232,Yes
fred_EXINUS,Low,Medium,13.0569,10.9717,No
fred_EXKOUS,High,Low,-13.9023,-16.8684,Yes
fred_EXKOUS,High,Medium,8.9191,5.953,No
fred_EXKOUS,Low,Medium,22.8214,19.8552,No
fred_EXMAUS,High,Low,-25.0897,-28.6288,Yes
fred_EXMAUS,High,Medium,-14.2235,-17.5696,Yes
fred_EXMAUS,Low,Medium,10.8663,8.0043,No
fred_EXNOUS,High,Low,-4.7342,-8.2966,Yes
fred_EXNOUS,High,Medium,-15.9855,-19.548,Yes
fred_EXNOUS,Low,Medium,-11.2514,-14.8138,Yes
fred_EXSDUS,High,Low,-8.6713,-12.5279,Yes
fred_EXSDUS,High,Medium,-10.3997,-14.2564,Yes
fred_EXSDUS,Low,Medium,-1.7285,-5.5852,Yes
fred_EXSIUS,High,Low,24.3366,21.6793,No
fred_EXSIUS,High,Medium,5.8885,3.2313,No
fred_EXSIUS,Low,Medium,-18.448,-21.1053,Yes
fred_EXSZUS,High,Low,28.3786,26.3284,No
fred_EXSZUS,High,Medium,9.453,7.4028,No
fred_EXSZUS,Low,Medium,-18.9256,-20.9758,Yes
fred_EXTAUS,High,Low,-8.0935,-11.3957,Yes
fred_EXTAUS,High,Medium,11.5227,8.2204,No
