observation_date,PCE_PCH
1959-02-01,1.14342
1959-03-01,1.00129
1959-04-01,-0.15990
1959-05-01,1.24920
1959-06-01,0.66435
1959-07-01,-0.12571
1959-08-01,0.75519
1959-09-01,1.24922
1959-10-01,-0.43183
1959-11-01,0.03098
1959-12-01,0.00000
1960-01-01,0.21679
1960-02-01,0.52534
1960-03-01,1.50630
1960-04-01,1.90793
1960-05-01,-1.93165
1960-06-01,0.03030
1960-07-01,0.39382
1960-08-01,0.06035
1960-09-01,0.54282
1960-10-01,0.59988
1960-11-01,0.00000
1960-12-01,-1.22242
1961-01-01,0.27166
1961-02-01,0.45154
1961-03-01,1.19868
1961-04-01,-0.02961
1961-05-01,0.68128
1961-06-01,0.29420
1961-07-01,-0.08800
1961-08-01,0.44040
1961-09-01,0.67232
1961-10-01,0.60976
1961-11-01,0.98124
1961-12-01,0.71449
1962-01-01,0.22701
1962-02-01,0.22650
1962-03-01,0.96045
1962-04-01,0.44768
1962-05-01,0.83565
1962-06-01,-0.44199
1962-07-01,0.27747
1962-08-01,0.41505
1962-09-01,1.62579
1962-10-01,-0.62364
1962-11-01,1.41883
1962-12-01,0.51116
1963-01-01,0.21413
1963-02-01,-0.26709
1963-03-01,0.42849
1963-04-01,0.37333
1963-05-01,0.21254
1963-06-01,1.19300
1963-07-01,0.70736
1963-08-01,0.49428
1963-09-01,-0.20709
1963-10-01,0.12970
1963-11-01,0.88083
1963-12-01,1.36107
1964-01-01,0.53205
1964-02-01,0.85685
1964-03-01,0.39980
1964-04-01,0.24888
1964-05-01,1.39027
1964-06-01,0.73457
1964-07-01,0.85075
1964-08-01,0.67486
1964-09-01,-0.26335
1964-10-01,0.72012
1964-11-01,-0.76263
1964-12-01,1.10471
1965-01-01,0.80760
1965-02-01,1.64939
1965-03-01,0.44043
1965-04-01,0.87699
1965-05-01,0.11439
1965-06-01,-0.54845
1965-07-01,1.33272
1965-08-01,0.77098
1965-09-01,1.71017
1965-10-01,1.43805
1965-11-01,0.13086
1965-12-01,0.56633
1966-01-01,0.75807
1966-02-01,1.07481
1966-03-01,1.02084
1966-04-01,0.40000
1966-05-01,-0.79681
1966-06-01,0.50729
1966-07-01,1.07256
1966-08-01,0.54099
1966-09-01,1.24172
1966-10-01,-0.18397
1966-11-01,0.36863
1966-12-01,0.34687
1967-01-01,0.48800
1967-02-01,-0.24282
1967-03-01,0.56795
1967-04-01,1.10932
