"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2025","4.5890","4.2425","4.6080","4.1840","320.38K","7.24%"
"01/01/2025","4.2790","4.0220","4.4420","3.9890","98.90K","6.79%"
"12/01/2024","4.0070","4.1085","4.2925","3.9885","17.61K","-2.34%"
"11/01/2024","4.1030","4.3615","4.4930","4.0015","1.19M","-5.46%"
"10/01/2024","4.3400","4.5335","4.6360","4.2755","109.56K","-4.68%"
"09/01/2024","4.5530","4.1735","4.7900","4.0275","195.17K","9.26%"
"08/01/2024","4.1670","4.1945","4.2535","3.9210","1.09M","-0.23%"
"07/01/2024","4.1765","4.3745","4.6965","4.0300","131.89K","-4.75%"
"06/01/2024","4.3850","4.6250","4.6960","4.3240","1.08M","-4.72%"
"05/01/2024","4.6020","4.5355","5.1870","4.4685","186.83K","0.85%"
"04/01/2024","4.5630","4.0310","4.6910","4.0250","2.29M","13.37%"
"03/01/2024","4.0250","3.8470","4.1640","3.8180","1.63M","4.63%"
"02/01/2024","3.8470","3.8975","3.9090","3.6755","129.17K","-1.79%"
"01/01/2024","3.9170","3.8955","3.9535","3.7145","1.70M","0.68%"
"12/01/2023","3.8905","3.8475","3.9670","3.7250","125.75K","1.04%"
"11/01/2023","3.8505","3.6485","3.8638","3.5808","76.39K","5.52%"
"10/01/2023","3.6490","3.7540","3.7615","3.5195","1.62M","-2.37%"
"09/01/2023","3.7375","3.8330","3.9085","3.6240","1.27M","-2.21%"
"08/01/2023","3.8220","4.0250","4.0345","3.6730","61.76K","-4.64%"
"07/01/2023","4.0080","3.7655","4.0170","3.7225","1.41M","6.61%"
"06/01/2023","3.7595","3.6820","3.9640","3.6600","745.08K","3.37%"
"05/01/2023","3.6370","3.8815","4.0047","3.5452","0.66K","-6.29%"
"04/01/2023","3.8812","4.0842","4.1940","3.8170","81.38K","-5.21%"
"03/01/2023","4.0945","4.0745","4.1745","3.8220","1.75M","0.50%"
"02/01/2023","4.0740","4.2180","4.2367","3.9375","68.60K","-3.60%"
"01/01/2023","4.2260","3.8355","4.3550","3.7085","1.47M","10.90%"
"12/01/2022","3.8105","3.7820","3.9415","3.7230","1.00M","1.94%"
"11/01/2022","3.7380","3.4150","3.9495","3.3740","140.36K","10.76%"
"10/01/2022","3.3750","3.3965","3.5930","3.3030","1.45M","-1.10%"
"09/01/2022","3.4125","3.5025","3.6950","3.2590","166.81K","-3.03%"
"08/01/2022","3.5190","3.5530","3.7825","3.4420","5.84K","-1.57%"
"07/01/2022","3.5750","3.6780","3.7025","3.1315","1.24M","-3.64%"
"06/01/2022","3.7100","4.2750","4.5790","3.6545","115.15K","-13.70%"
"05/01/2022","4.2990","4.3930","4.4400","4.0370","974.61K","-2.48%"
"04/01/2022","4.4085","4.7170","4.8425","4.3715","110.08K","-7.23%"
"03/01/2022","4.7520","4.5060","5.0395","4.4685","1.17M","6.68%"
"02/01/2022","4.4545","4.3300","4.6990","4.3275","124.59K","2.96%"
"01/01/2022","4.3265","4.4585","4.6010","4.2870","1.14M","-3.07%"
"12/01/2021","4.4635","4.3155","4.4900","4.1170","76.48K","4.28%"
"11/01/2021","4.2805","4.3790","4.5015","4.1975","10.23K","-1.80%"
"10/01/2021","4.3590","4.1065","4.8230","4.0585","1.28M","6.60%"
"09/01/2021","4.0890","4.3615","4.4675","4.0205","125.51K","-6.43%"
"08/01/2021","4.3700","4.4785","4.5000","3.9675","10.89K","-2.14%"
"07/01/2021","4.4655","4.2890","4.6275","4.1665","1.42M","4.12%"
"06/01/2021","4.2890","4.6925","4.6970","4.1125","149.77K","-8.37%"
"05/01/2021","4.6810","4.4620","4.8880","4.4350","1.71M","4.77%"
"04/01/2021","4.4680","3.9900","4.5510","3.9500","180.35K","11.70%"
"03/01/2021","4.0000","4.1060","4.2275","3.8490","1.87M","-2.26%"
"02/01/2021","4.0925","3.5470","4.3755","3.5100","352.97K","15.02%"
"01/01/2021","3.5580","3.5270","3.7340","3.5010","1.32M","1.11%"
"12/01/2020","3.5190","3.4640","3.6410","3.4415","84.74K","2.49%"
"11/01/2020","3.4335","3.0550","3.4915","3.0450","5.80K","12.52%"
"10/01/2020","3.0515","3.0160","3.2180","2.8345","1.39M","0.63%"
