observation_date,FDHBFIN,FDHBFIN_CCA,FDHBFIN_CCH,FDHBFIN_CH1,FDHBFIN_CHG,FDHBFIN_LOG,FDHBFIN_PC1,FDHBFIN_PCA,FDHBFIN_PCH,FDHBFRBN,FDHBFRBN_CCA,FDHBFRBN_CCH,FDHBFRBN_CH1,FDHBFRBN_CHG,FDHBFRBN_LOG,FDHBFRBN_PC1,FDHBFRBN_PCA,FDHBFRBN_PCH,FDHBPIN,FDHBPIN_CCA,FDHBPIN_CCH,FDHBPIN_CH1,FDHBPIN_CHG,FDHBPIN_LOG,FDHBPIN_PC1,FDHBPIN_PCA,FDHBPIN_PCH,FYGFDPUN,FYGFDPUN_CCA,FYGFDPUN_CCH,FYGFDPUN_CH1,FYGFDPUN_CHG,FYGFDPUN_LOG,FYGFDPUN_PC1,FYGFDPUN_PCA,FYGFDPUN_PCH
1980-01-01,125.0,19.67610,4.91902,-7.8,6.0,4.82831,-5.87349,21.74530,5.04202,116.700,-2.73272,-0.68318,5.800,-0.800,4.75961,5.22994,-2.69572,-0.68085,560.5,14.53384,3.63346,40.9,20.0,6.32883,7.87144,15.64309,3.70028,667123,5.52726,1.38181,36605,9155,13.41073,5.80554,5.68286,1.39141
1980-04-01,118.2,-22.37425,-5.59356,-1.3,-6.8,4.77238,-1.08787,-20.04790,-5.44000,124.500,25.87967,6.46992,14.800,7.800,4.82431,13.49134,29.53704,6.68380,558.2,-1.64477,-0.41119,41.6,-2.3,6.32472,8.05265,-1.63132,-0.41035,682710,9.23829,2.30957,56322,15587,13.43383,8.99155,9.67847,2.33645
1980-07-01,124.7,21.41310,5.35327,0.5,6.5,4.82591,0.40258,23.87849,5.49915,120.700,-12.39904,-3.09976,5.200,-3.800,4.79331,4.50216,-11.66116,-3.05221,589.2,21.61935,5.40484,65.8,31.0,6.37877,12.57165,24.13425,5.55357,709958,15.65426,3.91356,71122,27248,13.47296,11.13306,16.94605,3.99115
1980-10-01,129.7,15.72530,3.93132,10.7,5.0,4.86522,8.99160,17.02916,4.00962,121.300,1.98348,0.49587,3.800,0.600,4.79827,3.23404,2.00328,0.49710,616.4,18.05217,4.51304,75.9,27.2,6.42390,14.04255,19.78421,4.61643,737746,15.35751,3.83938,79778,27788,13.51135,12.12491,16.59954,3.91403
1981-01-01,138.2,25.39113,6.34778,13.2,8.5,4.92870,10.56000,28.90574,6.55359,119.000,-7.65733,-1.91433,2.300,-2.300,4.77912,1.97087,-7.37150,-1.89613,654.6,24.05130,6.01283,94.1,38.2,6.48402,16.78858,27.19015,6.19727,773676,19.02144,4.75536,106553,35930,13.55891,15.97202,20.95088,4.87024
1981-04-01,136.6,-4.65799,-1.16450,18.4,-1.6,4.91706,15.56684,-4.55117,-1.15774,120.000,3.34730,0.83682,-4.500,1.000,4.78749,-3.61446,3.40395,0.84034,651.2,-2.08302,-0.52075,93.0,-3.4,6.47882,16.66070,-2.06147,-0.51940,771255,-1.25365,-0.31341,88545,-2421,13.55577,12.96964,-1.24582,-0.31292
1981-07-01,130.7,-17.66093,-4.41523,6.0,-5.9,4.87290,4.81155,-16.18928,-4.31918,124.300,14.08250,3.52063,3.600,4.300,4.82270,2.98260,15.12232,3.58333,665.4,8.62862,2.15715,76.2,14.2,6.50039,12.93279,9.01183,2.18059,789799,9.50377,2.37594,79841,18544,13.57953,11.24588,9.97003,2.40439
1981-10-01,136.6,17.66093,4.41523,6.9,5.9,4.91706,5.31997,19.31648,4.51415,131.000,20.99973,5.24993,9.700,6.700,4.87520,7.99670,23.36747,5.39019,694.5,17.12152,4.28038,78.1,29.1,6.54319,12.67034,18.67461,4.37331,825509,17.68867,4.42217,87763,35710,13.62376,11.89610,19.34959,4.52140
1982-01-01,136.1,-1.46681,-0.36670,-2.1,-0.5,4.91339,-1.51954,-1.45611,-0.36603,126.600,-13.66593,-3.41648,7.600,-4.400,4.84103,6.38655,-12.77326,-3.35878,733.3,21.74509,5.43627,78.7,38.8,6.59755,12.02261,24.29044,5.58675,858888,15.85535,3.96384,85212,33379,13.66339,11.01391,17.18146,4.04344
1982-04-01,137.2,3.21992,0.80498,0.6,1.1,4.92144,0.43924,3.27232,0.80823,127.000,1.26183,0.31546,7.000,0.400,4.84419,5.83333,1.26983,0.31596,740.9,4.12431,1.03108,89.7,7.6,6.60787,13.77457,4.21054,1.03641,867916,4.18256,1.04564,96661,9028,13.67385,12.53295,4.27126,1.05113
1982-07-01,140.6,9.79171,2.44793,9.9,3.4,4.94592,7.57460,10.28713,2.47813,134.400,22.65334,5.66333,10.100,7.400,4.90082,8.12550,25.42445,5.82677,791.2,26.27405,6.56851,125.8,50.3,6.67355,18.90592,30.04892,6.78904,925631,25.75229,6.43807,135832,57715,13.73823,17.19830,29.37215,6.64984
1982-10-01,149.5,24.55097,6.13774,12.9,8.9,5.00730,9.44363,27.82726,6.33001,139.300,14.32378,3.58095,8.300,4.900,4.93663,6.33588,15.40042,3.64583,848.4,27.92058,6.98014,153.9,57.2,6.74335,22.15983,32.20794,7.22952,987719,25.96903,6.49226,162210,62088,13.80315,19.64969,29.65285,6.70764
1983-01-01,156.2,17.53634,4.38408,20.1,6.7,5.05114,14.76855,19.16792,4.48161,136.700,-7.53645,-1.88411,10.100,-2.600,4.91779,7.97788,-7.25947,-1.86648,906.6,26.53965,6.63491,173.3,58.2,6.80970,23.63289,30.39478,6.85997,1043339,21.91327,5.47832,184451,55620,13.85794,21.47556,24.49965,5.63116
1983-04-01,160.1,9.86455,2.46614,22.9,3.9,5.07580,16.69096,10.36750,2.49680,141.700,14.36936,3.59234,14.700,5.000,4.95371,11.57480,15.45303,3.65764,948.6,18.11435,4.52859,207.7,42.0,6.85499,28.03347,19.85872,4.63269,1090291,17.60739,4.40185,222375,46952,13.90196,25.62172,19.25262,4.50017
1983-07-01,160.1,0.00000,0.00000,19.5,0.0,5.07580,13.86913,0.00000,0.00000,155.400,36.91612,9.22903,21.000,13.700,5.04600,15.62500,44.65207,9.66831,982.7,14.12667,3.53167,191.5,34.1,6.89030,24.20374,15.17318,3.59477,1138188,17.19716,4.29929,212557,47897,13.94495,22.96347,18.76441,4.39305
1983-10-01,166.3,15.19791,3.79948,16.8,6.2,5.11379,11.23746,16.41359,3.87258,151.900,-9.11201,-2.27800,12.600,-3.500,5.02322,9.04523,-8.70919,-2.25225,1022.6,15.91992,3.97998,174.2,39.9,6.93010,20.53277,17.25715,4.06024,1174425,12.53646,3.13411,186706,36237,13.97629,18.90274,13.35616,3.18374
1984-01-01,166.3,0.00000,0.00000,10.1,0.0,5.11379,6.46607,0.00000,0.00000,150.800,-2.90718,-0.72680,14.100,-1.100,5.01595,10.31456,-2.86533,-0.72416,1073.0,19.24402,4.81101,166.4,50.4,6.97821,18.35429,21.22041,4.92861,1223898,16.50487,4.12622,180559,49473,14.01755,17.30588,17.94506,4.21253
