Date,Value
2000-01-01,2.18914
2000-02-01,2.56874
2000-03-01,2.93088
2000-04-01,2.35099
2000-05-01,2.36895
2000-06-01,2.68426
2000-07-01,2.66881
2000-08-01,2.47547
2000-09-01,2.5481
2000-10-01,2.51486
2000-11-01,2.56633
2000-12-01,2.48478
2001-01-01,2.70144
2001-02-01,2.5372
2001-03-01,2.1087
2001-04-01,2.37324
2001-05-01,2.55765
2001-06-01,2.39173
2001-07-01,2.10173
2001-08-01,2.09646
2001-09-01,1.3131
2001-10-01,1.53188
2001-11-01,1.32157
2001-12-01,1.06208
2002-01-01,0.66594
2002-02-01,0.67957
2002-03-01,0.94331
2002-04-01,1.18771
2002-05-01,0.98826
2002-06-01,0.9362
2002-07-01,1.19216
2002-08-01,1.40295
2002-09-01,1.93282
2002-10-01,1.76045
2002-11-01,1.92999
2002-12-01,2.13367
2003-01-01,2.34652
2003-02-01,2.60462
2003-03-01,2.58965
2003-04-01,1.9887
2003-05-01,1.80481
2003-06-01,1.78813
2003-07-01,1.86274
2003-08-01,2.00672
2003-09-01,2.14134
2003-10-01,1.96821
2003-11-01,1.99618
2003-12-01,2.12288
2004-01-01,2.21241
2004-02-01,2.00062
2004-03-01,1.89643
2004-04-01,2.25922
2004-05-01,2.70954
2004-06-01,2.89091
2004-07-01,2.68454
2004-08-01,2.39117
2004-09-01,2.27392
2004-10-01,2.70001
2004-11-01,2.96563
2004-12-01,2.79372
2005-01-01,2.53203
2005-02-01,2.59873
2005-03-01,2.74751
2005-04-01,2.8445
2005-05-01,2.56897
2005-06-01,2.3412
2005-07-01,2.67943
2005-08-01,3.0408
2005-09-01,3.83002
2005-10-01,3.55136
2005-11-01,2.93841
2005-12-01,2.88363
2006-01-01,3.24694
2006-02-01,3.02224
2006-03-01,2.91367
2006-04-01,3.10283
2006-05-01,3.32153
2006-06-01,3.51163
2006-07-01,3.42735
2006-08-01,3.33588
2006-09-01,2.08003
2006-10-01,1.67697
2006-11-01,1.92467
2006-12-01,2.28675
2007-01-01,2.13326
2007-02-01,2.38921
2007-03-01,2.5649
2007-04-01,2.33078
2007-05-01,2.35298
2007-06-01,2.31763
2007-07-01,2.12473
2007-08-01,1.87372
2007-09-01,2.53469
2007-10-01,3.08847
2007-11-01,3.59963
2007-12-01,3.47163
2008-01-01,3.38741
2008-02-01,3.27292
2008-03-01,3.19114
2008-04-01,3.13952
2008-05-01,3.28214
2008-06-01,3.81144
2008-07-01,4.13566
2008-08-01,3.98063
2008-09-01,3.66784
2008-10-01,2.67184
2008-11-01,0.92503
2008-12-01,0.12957
2009-01-01,-0.1111
2009-02-01,-0.13125
2009-03-01,-0.52575
2009-04-01,-0.56757
2009-05-01,-0.88921
2009-06-01,-1.01862
2009-07-01,-1.46601
2009-08-01,-1.10012
2009-09-01,-1.02275
2009-10-01,0.01339
2009-11-01,1.46061
2009-12-01,2.08972
2010-01-01,2.30172
2010-02-01,2.11633
2010-03-01,2.37272
2010-04-01,2.28212
2010-05-01,2.20847
2010-06-01,1.56222
2010-07-01,1.63739
2010-08-01,1.4824
2010-09-01,1.41955
2010-10-01,1.35842
2010-11-01,1.3072
2010-12-01,1.47767
2011-01-01,1.55987
2011-02-01,1.84503
2011-03-01,2.11055
2011-04-01,2.4881
2011-05-01,2.76625
2011-06-01,2.78845
2011-07-01,2.8757
2011-08-01,2.97673
2011-09-01,3.01903
2011-10-01,2.69363
2011-11-01,2.69926
2011-12-01,2.52662
2012-01-01,2.56931
2012-02-01,2.51315
2012-03-01,2.29803
2012-04-01,1.99985
2012-05-01,1.57694
2012-06-01,1.54602
2012-07-01,1.41003
2012-08-01,1.51187
2012-09-01,1.67797
2012-10-01,1.97688
2012-11-01,1.6991
2012-12-01,1.62438
2013-01-01,1.47081
2013-02-01,1.60461
2013-03-01,1.27699
2013-04-01,1.04123
2013-05-01,1.22903
2013-06-01,1.50551
2013-07-01,1.59511
2013-08-01,1.40479
2013-09-01,1.14129
2013-10-01,0.97611
2013-11-01,1.19547
2013-12-01,1.3881
2014-01-01,1.40541
2014-02-01,1.09398
2014-03-01,1.3897
2014-04-01,1.67311
2014-05-01,1.76617
2014-06-01,1.65146
2014-07-01,1.66924
2014-08-01,1.50624
2014-09-01,1.49725
2014-10-01,1.33294
2014-11-01,1.08576
2014-12-01,0.73226
2015-01-01,0.0414
2015-02-01,0.1707
2015-03-01,0.19935
2015-04-01,0.11032
2015-05-01,0.18529
2015-06-01,0.27043
2015-07-01,0.21973
2015-08-01,0.23927
2015-09-01,0.0657
2015-10-01,0.0955
2015-11-01,0.25388
2015-12-01,0.34596
2016-01-01,0.87115
2016-02-01,0.64033
2016-03-01,0.68551
2016-04-01,0.92591
2016-05-01,0.84869
2016-06-01,0.82961
2016-07-01,0.75508
2016-08-01,0.88821
2016-09-01,1.21977
2016-10-01,1.427
2016-11-01,1.3974
2016-12-01,1.65716
2017-01-01,2.00521
2017-02-01,2.19714
2017-03-01,1.90636
2017-04-01,1.76747
2017-05-01,1.55777
2017-06-01,1.46555
2017-07-01,1.48563
2017-08-01,1.57191
2017-09-01,1.75744
2017-10-01,1.68204
2017-11-01,1.79371
2017-12-01,1.76641
2018-01-01,1.75765
2018-02-01,1.83761
2018-03-01,1.99829
2018-04-01,2.04663
2018-05-01,2.26621
2018-06-01,2.26831
2018-07-01,2.33861
2018-08-01,2.18041
2018-09-01,2.00996
2018-10-01,2.0531
2018-11-01,1.94189
2018-12-01,1.86469
2019-01-01,1.43183
2019-02-01,1.40017
2019-03-01,1.52181
2019-04-01,1.56634
2019-05-01,1.46555
2019-06-01,1.42607
2019-07-01,1.45393
2019-08-01,1.43042
2019-09-01,1.28395
2019-10-01,1.28856
2019-11-01,1.35828
2019-12-01,1.56376
2020-01-01,1.72531
2020-02-01,1.65798
2020-03-01,1.14777
2020-04-01,0.44214
2020-05-01,0.46309
2020-06-01,0.72378
2020-07-01,0.90907
2020-08-01,1.17392
2020-09-01,1.26575
2020-10-01,1.14418
2020-11-01,1.15454
2020-12-01,1.32589
2021-01-01,1.59358
