observation_date,gold_price
2000-09-01,273.6000061035156
2000-11-01,270.1000061035156
2000-12-01,272.0
2001-01-01,265.6000061035156
2001-02-01,266.79998779296875
2001-03-01,257.8999938964844
2001-05-01,265.29998779296875
2001-06-01,270.6000061035156
2001-08-01,274.3999938964844
2001-09-01,292.3999938964844
2001-10-01,279.5
2001-11-01,273.8999938964844
2001-12-01,278.70001220703125
2002-01-01,282.1000061035156
2002-02-01,296.70001220703125
2002-03-01,302.6000061035156
2002-04-01,308.8999938964844
2002-05-01,326.5
2002-06-01,313.5
2002-07-01,303.20001220703125
2002-08-01,312.3999938964844
2002-10-01,318.0
2002-11-01,316.79998779296875
2003-01-01,368.2999877929688
2003-02-01,350.20001220703125
2003-03-01,335.8999938964844
2003-04-01,339.1000061035156
2003-05-01,364.5
2003-07-01,354.0
2003-08-01,375.7000122070313
2003-09-01,385.3999938964844
2003-10-01,384.5
2003-11-01,396.7999877929688
2003-12-01,415.7000122070313
2004-01-01,402.2000122070313
2004-03-01,427.2999877929688
2004-04-01,387.0
2004-05-01,394.0
2004-06-01,392.6000061035156
2004-07-01,391.0
2004-09-01,418.7000122070313
2004-10-01,428.5
2004-11-01,451.2999877929688
2004-12-01,437.5
2005-01-01,421.7999877929688
2005-02-01,436.5
2005-03-01,428.7000122070313
2005-04-01,435.0
2005-06-01,435.8999938964844
2005-07-01,429.8999938964844
2005-08-01,433.7999877929688
2005-09-01,469.0
2005-10-01,465.1000061035156
2005-11-01,494.6000061035156
2005-12-01,517.0999755859375
2006-02-01,561.5999755859375
2006-03-01,581.7999877929688
2006-04-01,651.7999877929688
2006-05-01,642.5
2006-06-01,613.5
2006-07-01,634.2000122070312
2006-08-01,625.9000244140625
2006-09-01,598.5999755859375
2006-11-01,646.9000244140625
2006-12-01,635.2000122070312
2007-01-01,652.0
2007-02-01,669.4000244140625
2007-03-01,663.0
2007-05-01,661.0
2007-06-01,648.0999755859375
2007-08-01,673.0
2007-09-01,742.7999877929688
2007-10-01,792.0
2007-11-01,782.2000122070312
2007-12-01,834.9000244140625
2008-01-01,922.7000122070312
2008-02-01,972.0999755859376
2008-03-01,916.2000122070312
2008-04-01,862.7999877929688
2008-05-01,887.2999877929688
2008-07-01,913.9000244140624
2008-08-01,829.2999877929688
2008-09-01,874.2000122070312
2008-10-01,716.7999877929688
2008-11-01,816.2000122070312
2008-12-01,883.5999755859375
2009-01-01,927.2999877929688
2009-04-01,890.7000122070312
2009-05-01,978.7999877929688
2009-06-01,927.0999755859376
2009-07-01,953.7000122070312
2009-08-01,951.7000122070312
2009-09-01,1008.0
2009-10-01,1039.699951171875
2009-12-01,1095.199951171875
2010-01-01,1083.0
2010-02-01,1118.300048828125
2010-03-01,1113.300048828125
2010-04-01,1180.0999755859375
2010-05-01,1212.199951171875
2010-06-01,1245.5
2010-07-01,1181.699951171875
2010-09-01,1307.800048828125
2010-10-01,1357.0999755859375
2010-11-01,1385.0
2010-12-01,1421.0999755859375
2011-01-01,1333.800048828125
2011-02-01,1409.300048828125
2011-03-01,1438.9000244140625
2011-04-01,1556.0
2011-06-01,1502.300048828125
2011-07-01,1628.300048828125
2011-08-01,1828.5
2011-09-01,1620.4000244140625
2011-10-01,1724.199951171875
2011-11-01,1745.5
2011-12-01,1565.800048828125
2012-02-01,1709.9000244140625
2012-03-01,1669.300048828125
2012-05-01,1562.5999755859375
2012-06-01,1603.5
2012-08-01,1684.5999755859375
2012-09-01,1771.0999755859375
2012-10-01,1717.5
2012-11-01,1710.9000244140625
2012-12-01,1674.800048828125
2013-01-01,1660.5999755859375
2013-02-01,1577.699951171875
2013-03-01,1594.800048828125
2013-04-01,1472.199951171875
2013-05-01,1392.5999755859375
2013-06-01,1223.800048828125
2013-07-01,1312.4000244140625
2013-08-01,1396.0999755859375
2013-10-01,1323.5999755859375
2013-11-01,1250.5999755859375
2014-01-01,1240.0999755859375
2014-02-01,1321.4000244140625
2014-03-01,1283.4000244140625
2014-04-01,1295.5999755859375
2014-05-01,1245.5999755859375
2014-07-01,1281.300048828125
2014-08-01,1285.800048828125
2014-09-01,1210.5
2014-10-01,1171.0999755859375
2014-11-01,1175.199951171875
2014-12-01,1183.9000244140625
2015-01-01,1278.5
2015-04-01,1182.4000244140625
2015-05-01,1189.4000244140625
2015-06-01,1171.5
2015-07-01,1094.9000244140625
2015-08-01,1131.5999755859375
2015-09-01,1115.5
2015-10-01,1141.5
2015-12-01,1060.300048828125
2016-01-01,1116.4000244140625
2016-02-01,1233.9000244140625
2016-03-01,1234.199951171875
2016-04-01,1289.199951171875
2016-06-01,1318.4000244140625
2016-07-01,1349.0
2016-08-01,1306.9000244140625
2016-09-01,1313.300048828125
2016-10-01,1271.5
2016-11-01,1170.800048828125
2016-12-01,1150.0
2017-02-01,1252.5999755859375
2017-03-01,1247.300048828125
2017-04-01,1266.0999755859375
2017-05-01,1272.0
2017-06-01,1240.699951171875
2017-07-01,1266.5999755859375
2017-08-01,1316.199951171875
2017-09-01,1281.5
2017-11-01,1273.199951171875
2017-12-01,1306.300048828125
2018-01-01,1339.0
2018-02-01,1315.5
2018-03-01,1322.800048828125
2018-05-01,1300.0999755859375
2018-06-01,1251.300048828125
2018-08-01,1200.300048828125
2018-09-01,1191.5
2018-10-01,1212.300048828125
2018-11-01,1220.199951171875
2018-12-01,1278.300048828125
2019-01-01,1319.699951171875
2019-02-01,1312.800048828125
2019-03-01,1293.0
2019-04-01,1282.800048828125
2019-05-01,1305.800048828125
2019-06-01,1409.699951171875
2019-07-01,1426.0999755859375
2019-08-01,1519.0999755859375
2019-10-01,1511.4000244140625
2019-11-01,1465.5999755859375
2020-01-01,1582.9000244140625
2020-02-01,1564.0999755859375
2020-04-01,1684.199951171875
2020-05-01,1736.9000244140625
2020-06-01,1793.0
2020-07-01,1962.800048828125
2020-08-01,1967.5999755859373
2020-09-01,1887.5
2020-10-01,1877.4000244140625
2020-12-01,1893.0999755859373
